Ticker
MSFT
AAPL
NVDA
GOOG
GOOGL
AMZN
META
BRK.B
LLY
AVGO
V
JPM
TSLA
WMT
UNH
XOM
MA
HD
PG
JNJ
ORCL
COST
ABBV
MRK
CRM
BAC
AMD
CVX
NFLX
KO
PEP
ADBE
LIN
TMO
DIS
ACN
MCD
WFC
CSCO
ABT
GE
TMUS
QCOM
DHR
INTU
INTC
CAT
IBM
AMAT
CMCSA
VZ
UBER
AXP
NOW
TXN
BX
PFE
MS
UNP
LOW
AMGN
COP
NKE
PM
ISRG
SPGI
SYK
UPS
GS
HON
SCHW
LRCX
RTX
NEE
ETN
BKNG
BLK
MU
T
PGR
ELV
PLD
C
BA
TJX
DE
MDT
VRTX
LMT
ABNB
REGN
BMY
CB
SBUX
ADP
MMC
CI
BSX
CVS
MDLZ
KLAC
ADI
ANET
PANW
FI
SNPS
GILD
AMT
CDNS
HCA
SHW
WM
ITW
CMG
ICE
TGT
ZTS
SLB
CME
GD
SO
MO
EQIX
MAR
CL
CSX
DUK
EOG
MPC
PH
BDX
MCO
NOC
MCK
FDX
PYPL
ORLY
APH
TDG
PSX
TT
USB
ECL
PCAR
CTAS
AON
FCX
EMR
NXPI
MNST
PNC
RSG
PXD
ROP
MMM
MSI
NSC
SMCI
OXY
VLO
EW
ADSK
CEG
AZO
CPRT
COF
DHI
AJG
HLT
APD
MET
WELL
FTNT
CARR
AIG
TRV
DXCM
EL
F
LULU
GWW
TFC
GM
SPG
PSA
STZ
ROST
AFL
ODFL
URI
MCHP
NUE
WMB
OKE
HES
IQV
LEN
O
FAST
CCI
TEL
DLR
SRE
IDXX
MSCI
AEP
KHC
PAYX
ALL
JCI
A
AMP
PCG
BK
AME
KMB
HUM
CHTR
PRU
CNC
GEHC
DOW
KR
FIS
SYY
D
HSY
MRNA
KDP
LHX
OTIS
KMI
CMI
KVUE
CSGP
GIS
NEM
COR
CTVA
YUM
IR
LVS
MLM
IT
PWR
EXC
VMC
CTSH
NDAQ
EA
RCL
FANG
CDW
HAL
ACGL
GPN
BKR
VRSK
PPG
DG
ROK
LYB
EFX
MPWR
PEG
ON
FICO
BIIB
DD
ADM
DFS
XYL
EXR
DVN
ED
ANSS
FTV
VICI
HIG
CBRE
HPQ
DAL
XEL
WST
MTD
TSCO
GRMN
RMD
WTW
HWM
GLW
DLTR
CAH
KEYS
EIX
EBAY
TROW
RJF
ZBH
AVB
TTWO
WY
BLDR
CHD
NVR
WAB
ULTA
WEC
FITB
TRGP
PHM
BRO
LYV
MOH
BF.B
DOV
ALGN
BR
AXON
MTB
DECK
EQR
SBAC
IRM
AWK
STT
STLD
PTC
STE
HPE
ROL
DTE
HUBB
CCL
WRB
ARE
ETR
FE
ILMN
FLT
GPC
NTAP
APTV
BAX
IFF
INVH
BALL
WDC
TSN
WBD
WAT
CTRA
ES
JBHT
TDY
PPL
COO
DRI
PFG
HBAN
CBOE
AEE
VRSN
K
VLTO
J
HRL
MKC
CLX
EXPE
STX
OMC
IEX
TXT
CINF
RF
CE
LH
WBA
TYL
HOLX
CNP
CMS
BBY
ATO
EXPD
NTRS
VTR
LDOS
AVY
FDS
L
LUV
TER
MAS
SWKS
SYF
JBL
EG
PKG
AKAM
FSLR
CFG
ESS
POOL
DPZ
TRMB
CF
MAA
EPAM
ENPH
SNA
NDSN
MRO
UAL
EQT
ZBRA
NWS
LW
NWSA
HST
SWK
NRG
BG
BEN
DGX
TAP
MGM
ALB
GEN
LKQ
VTRS
KEY
CRL
PNR
CAG
IP
FOXA
FOX
KMX
AMCR
SJM
UDR
AOS
CPB
KIM
INCY
RVTY
LNT
DOC
IPG
WRK
JKHY
UHS
NI
JNPR
RL
EVRG
ALLE
DVA
HII
AES
PODD
TECH
FFIV
EMN
WYNN
QRVO
REG
PAYC
GL
TPR
DAY
BBWI
CPT
TFX
APA
CTLT
MOS
BXP
BIO
AAL
MTCH
HSIC
AIZ
CZR
NCLH
CHRW
MKTX
RHI
FRT
PNW
ETSY
MHK
FMC
PARA
BWA
HAS
IVZ
GNRC
CMA
XRAY
VFC
